Queue Time (ms),Response Time (s),Worker ID
0,257.08,75
0,309.36,64
0,134.91,63
0,250.26,42
0,208.2,43
0,257.75,44
0,21.74,45
0,320.1,46
0,23.44,47
0,373.02,48
0,21.69,78
0,130.02,49
0,178.04,50
0,198.81,51
0,252.98,52
0,226.25,53
0,293.94,54
0,327.44,55
0,21.32,56
0,289.84,57
0,334.56,58
0,20.89,59
0,23.1,45
0,23.16,60
0,22.33,61
0,21.17,62
0,21.78,78
0,22.54,47
1.07,20.8,80
2.5,2.7,56
1.41,1.58,56
0,22.13,56
0,2.09,59
1.94,3.8,59
2.14,3.99,45
3.06,4.98,60
3.33,4.6,62
3.28,24.47,61
2.95,6.63,59
3.06,4.91,45
3.89,6.35,62
4.11,5.34,60
4.57,7.28,45
4.75,26.77,60
4.27,27.37,62
2.96,3.09,59
3.06,25.61,59
3.39,25.21,45
6.33,7.61,78
5.46,5.62,47
3.84,22.26,47
0,22.49,80
0,22.63,97
0,0.18,96
0,11.86,96
0,79.91,100
0,1.8,99
0,2.17,98
0,0.14,95
0,1.75,95
0,1.91,94
0,2.25,93
0,2.13,92
0,2.05,91
0,0.68,99
0,2.13,95
0,2.35,98
0,1.33,99
0,21.6,99
0,0.26,98
0,0.14,98
0,21.07,96
0,0.13,103
0,22.41,103
0,0.14,102
0,21.08,101
0,22.16,97
0,22.37,102
0,0.21,99
0,22.56,98
0,0.18,99
0,11.06,95
0,0.2,99
0,16.57,94
0,0.2,93
0,0.23,99
0,0.33,99
0,0.32,93
0,0.31,99
0,0.33,93
0,0.18,99
0,11.25,99
0,0.33,93
0,0.18,92
0,0.28,91
0,19.64,93
0,0.31,96
0,22.33,96
0,0.31,105
0,0.35,105
0,0.32,105
0,21.72,104
0,21.61,105
0,0.21,103
0,21.05,103
0,20.71,101
0,10.56,99
0,19.32,97
0,0.32,95
0,22.75,102
0,0.32,95
0,21.13,98
0,23.06,99
0,5.16,95
0,5.21,94
0,2.22,93
0,2.15,92
0,2.08,91
0,22.19,90
0,22.05,89
0,22.19,96
0,10.18,95
0,0.33,104
0,16.38,93
0,0.4,92
0,0.31,91
0,0.36,106
0,0.36,104
0,17.77,105
0,0.32,104
0,18.39,103
0,0.31,97
0,0.4,104
0,0.31,101
0,0.19,94
0,0.33,97
0,0.42,94
0,0.34,101
0,0.31,104
0,0.4,92
0,0.34,91
0,20.57,97
0,23.14,104
0,21.18,102
0,21.01,101
0,19.57,95
0,0.43,94
0,0.29,94
0,20.54,94
0,21.91,92
0,0.36,98
0,5.34,98
0,2.1,100
